,src_english,trg_french
0,"Two young, White males are outside near many bushes.",Deux jeunes hommes blancs sont dehors près de buissons.
1,Several men in hard hats are operating a giant pulley system.,Plusieurs hommes en casque font fonctionner un système de poulies géant.
2,A little girl climbing into a wooden playhouse.,Une petite fille grimpe dans une maisonnette en bois.
3,A man in a blue shirt is standing on a ladder cleaning a window.,Un homme dans une chemise bleue se tient sur une échelle pour nettoyer une fenêtre.
4,Two men are at the stove preparing food.,Deux hommes aux fourneaux préparent à manger.
5,A man in green holds a guitar while the other man observes his shirt.,Un homme en vert tient une guitare tandis qu'un autre homme observe sa chemise.
6,A man is smiling at a stuffed lion,Un homme sourit à un ours en peluche.
7,A trendy girl talking on her cellphone while gliding slowly down the street.,Une fille branchée parle à son portable tout en glissant lentement dans la rue.
8,A woman with a large purse is walking by a gate.,Une femme avec un gros sac passe par une porte.
9,Boys dancing on poles in the middle of the night.,Des garçons dansent sur des barres au milieu de la nuit.
10,A ballet class of five girls jumping in sequence.,"Une classe de ballet, composée de cinq filles, sautent en cadence."
11,Four guys three wearing hats one not are jumping at the top of a staircase.,"Quatre gars, dont trois portent des chapeaux, sautent du haut d'un escalier."
12,A black dog and a spotted dog are fighting,Un chien noir et un chien à tâches se battent.
13,A man in a neon green and orange uniform is driving on a green tractor.,Un homme en uniforme orange et vert fluo conduit un tracteur vert.
14,Several women wait outside in a city.,Plusieurs femmes attendent dehors dans une ville.
15,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.,Une femme portant un haut noir et des lunettes est en train de saupoudrer du sucre sur un bundt cake.
16,A little girl is sitting in front of a large painted rainbow.,Une petite fille est assise devant un grand arc-en-ciel peint.
17,A man lays on the bench to which a white dog is also tied.,Un homme est couché sur un banc auquel est également attaché un chien blanc.
18,Five people are sitting in a circle with instruments.,Cinq personnes sont assis en cercle avec leurs instruments.
19,A bunch of elderly women play their clarinets together as they read off sheet music.,Un groupe de femmes âgées jouent ensemble de la clarinette tout en lisant leur partition.
20,A large structure has broken and is laying in a roadway.,Une grande structure s'est cassée et est couchée sur la chaussée.
21,A large crowd of people stand outside in front of the entrance to a Metro station.,Une importante foule de gens se tient dehors devant l'entrée d'une bouche de métro.
22,A man getting a tattoo on his back.,Un homme se faisant tatouer sur son dos.
23,Two children sit on a small seesaw in the sand.,Deux enfants sont assis sur un petit manège à bascule dans le sable.
24,A man wearing a reflective vest and a hard hat holds a flag in the road,Un homme vêtu d'un gilet réfléchissant et d'un casque tient un drapeau sur la route.
25,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",Une personne vêtue d'un manteau bleu se tient sur un trottoir encombré et étudie une peinture représentant une scène de rue.
26,A man in green pants walking down the road.,Un homme habillé d'un pantalon vert descend la route.
27,The small child climbs on a red ropes on a playground.,Le petit enfant grimpe sur une corde rouge dans une aire de jeux.
28,You know i am looking like Justin Bieber.,Tu sais que je ressemble à Justin Bieber.
29,A young man in a black and yellow jacket is gazing at something and smiling.,Un jeune homme dans une veste noire et jaune regarde quelque chose en souriant.
30,A man standing at a urinal with a coffee cup.,Un homme debout près d'un urinoir avec une tasse de café.
31,Five people walking with a multicolored sky in the background.,Cinq personnes marchant avec un fond multicolore en arrière-plan.
32,A old man having a beer alone.,Un vieil homme seul avec une bière.
33,A trained police dog sits next to his handler in front of the police van.,Un chien policier dressé est assis près de son maître devant un fourgon de police.
34,A person riding a bike on a snowy road.,Une personne faisant du vélo sur une route enneigée.
35,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.","Cinq hommes, tous vêtus de chemise blanche, d'une cravate et d'un pantalon noir, discutent à l'arrière d'un fourgon ouvert."
36,A man with a backwards hat works on machinery.,Un homme avec un chapeau mis sur l'arrière travaille sur des machines.
37,A black woman and a white man working in a factory setting packing jars with candles into boxes.,Une femme noire et un homme blanc travaille dans une usine d'emballage de bougies en pot dans des cartons.
38,Asian man sweeping the walkway.,Un asiatique balaie le trottoir.
39,"A man leans into a car to talk to the driver, as a man on a bicycle looks on.",Un homme penché sur une voiture parle au conducteur tandis qu'un cycliste les observe.
40,Two young toddlers outside on the grass.,Deux jeunes bambins dehors sur l'herbe.
41,People are watching a person in a weird vehicle in a plaza.,Des gens observent une personne dans un étrange véhicule sur une place.
42,A man walks by a silver vehicle.,Un homme se déplace à l'aide d'un véhicule argenté.
43,A beautiful bride walking on a sidewalk with her new husband.,Une belle mariée marchant sur le trottoir avec son nouveau mari.
44,A little boy playing GameCube at a McDonald's.,Un petit garçon est en train de jouer à la GameCube dans un McDonald.
45,A white dog shakes on the edge of a beach with an orange ball.,Un chien blanc s'ébroue sur le bord de la plage avec une balle orange.
46,A group of people having a barbecue at a park.,Un groupe de gens font un barbecue dans un parc.
47,A man in sunglasses puts his arm around a woman in a black and white blouse.,Un homme en lunettes de soleil pose son bras autour d'une femme en chemisier blanc et noir.
48,A man with a balloon hat and people eating outdoors at picnic tables.,Des gens et un homme avec un chapeau en ballons  mangent en extérieur sur des tables de picnic.
49,A boy jump kicking over three kids kicking wood during a tae kwon do competition.,Un garçon saute au dessus de trois enfants en donnant un coup de pied dans du bois lors d'une compétition de taekwondo.
50,A boy in a red jacket pouring water on a man in a white shirt,Un garçon dans une veste rouge jette de l'eau sur un homme en chemise blanche.
51,A man with a red jacket is shielding himself from the sun trying to read a piece of paper.,Un homme avec une veste rouge tente de se protéger du soleil tout en essayant de lire un morceau de papier.
52,Men walking down a street with children.,Des hommes descendent la rue avec des enfants.
53,A little boy is standing on the street while a man in overalls is working on a stone wall.,Un petit garçon se tient debout dans la rue tandis qu'un homme en salopette fabrique un mur de pierre.
54,A black dog leaps over a log.,Un chien noir saute par dessus une bûche.
55,"A man in a suit is running past two other gentleman, also dressed in a suit.","Un homme en costume dépasse deux autres messieurs, également vêtus d'un costume."
56,Man in a red shirt riding his bicycle around water.,Un homme dans une chemise rouge en vélo près de l'eau.
57,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.,"Un homme, pieds nus, avec un fort vert olive, fait griller des hotdogs sur un petit réchaud tout en tenant une tasse de plastique bleu."
58,A dog is running in the snow,Un chien court dans la neige.
59,A crowd is standing and waiting for the green light.,Une foule est debout et attend le feu vert.
60,Man on skis looking at artwork for sale in the snow,L'homme à skis regarde les illustrations à vendre dans la neige.
61,Seven climbers are ascending a rock face whilst another man stands holding the rope.,Sept alpinistes font l'ascension d'un rocher tandis qu'un autre homme assure avec une corde.
62,The young gymnast's supple body soars above the balance beam.,La corps souple d'une jeune gymnaste plane au dessus de la poutre d'équilibre.
63,A young boy is pushing a toy ATV around a rubber pool,Un jeune garçon pousse un jouet ATV autour d'une piscine en caoutchouc.
64,Woman in red windbreaker looking though a rooftop binoculars at the city below.,Une femme en coupe-vent rouge regarde à la jumelle la ville en contre-bas.
65,A man is standing in front of a small red object that looks like a plane.,Un homme se tient devant un objet rouge qui ressemble à un avion.
66,A dog is playing with a hose.,Un chien joue avec un tuyau.
67,A man and a little girl happily posing in front of their cart in a supermarket.,"Un homme et une petite fille posent, visiblement heureux, devant leur chariot dans un supermarché."
68,A white dog is about to catch a yellow dog toy.,Un chien blanc est sur le point d'attraper un jouet pour chiens jaune.
69,Guy in green shirt with hand covering part of his face in restaurant booth.,"Un type en chemise verte, avec la main couvrant une partie de son visage, dans un restaurant."
70,A black and white dog jumps up towards a yellow toy.,Un chien noir et blanc saute vers un jouet jaune.
71,Two hikers resting by a patch of snow.,Deux randonneurs prenant la pose sur un morceau de neige.
72,A man showing off his new wooden creation.,Un homme en train de crâner avec sa nouvelle création en bois.
73,A elderly father and his grown son are preparing for a camping trip in the wild.,Un père âgé et son fils adulte se préparent pour un voyage en camping dans la nature.
74,A bearded traveler in a red shirt sitting in a car and reading a map.,Un voyageur barbu dans une chemise rouge lit une carte dans sa voiture.
75,A young boy waves his hand at the duck in the water surrounded by a green park.,Un jeune garçon dit coucou à un canard sur une étendue d'eau entourée par un parc vert.
76,A couple sit on the grass with a baby and stroller.,Un couple assis sur l'herbe avec un bébé et une poussette.
77,Some men standing in front of a building next to a parked car.,Quelques hommes debout devant un immeuble à côté d'une voiture en stationnement.
78,The black dog runs through the water.,Le chien noir court dans l'eau.
79,A man is drilling through the frozen ice of a pond.,Un homme tente de percer la glace d'un étang gelé.
80,Two large tan dogs play along a sandy beach.,Deux chiens beiges imposants jouent ensemble sur une plage de sable.
81,A person in blue and red ice climbing with two picks.,Une personne en bleu et rouge en train de grimper avec deux pics à glace.
82,Three people walking on a path in a meadow.,Trois personnes marchant sur un chemin dans un pré.
83,"A man in black attire shovels snow into the street, disregarding all public safety.",Un homme en costume noir fait des pelletées de neige dans la rue ignorant tout de la sécurité publique.
84,A couple stands behind their wedding cake.,Un couple se tient derrière leur gâteau de mariage.
85,A wet black dog is carrying a green toy through the grass.,Un chien noir mouillé qui porte un jouet vert dans l'herbe.
86,Villagers selling their crops at the market.,Des villageois en train de vendre leur récolte au marché.
87,In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.,"Dans un concert bondé, un homme en blanc s'approche du chanteur qui porte un t-shirt jaune."
88,A boy jumps on his skateboard while a crowd watches,Un garçon saute sur son skateboard tandis qu'une foule regarde.
89,A man and a baby are in a yellow kayak on water.,"Sur l'eau, un homme et un bébé sont dans un kayak jaune."
90,"Two people are sitting on a bench, and one women is standing by them.","Deux personnes sont assises sur un banc, et une femme se tient à leurs côtés."
91,A construction site on a street with three men working.,Un chantier de construction sur la rue avec trois hommes qui y travaillent.
92,"Two men sitting on a bench talking, with a billboard advertisement for glasses in the background.",Deux hommes assis sur un banc en train de discuter avec un panneau publicitaire pour des lunettes en arrière-plan.
93,A group of youths march down the street waving flags showing the color spectrum.,Un groupe de jeunes descend la rue en agitant des drapeaux représentant le spectre de couleurs.
